Code_commune_INSEE,Nom_commune,Code_postal,Libelle_acheminement,nom,url_end,type1,min1,med2,max3,type2,min1.1,med2.1,max3.1,type3,min1.2,med2.2,max3.2
39577,VINCENT FROIDEVILLE,39230,VINCENT FROIDEVILLE,vincent,vincent-39230,,1 113,1 237,1 422,,,,,,,,
39579,VIRY,39360,VIRY,viry,viry-39360,,1 074,1 409,2 466,,875,1 148,2 010,,,,
39585,VULVOZ,39360,VULVOZ,vulvoz,vulvoz-39360,,832,1 109,1 664,,,,,,,,
40001,AIRE SUR L ADOUR,40800,AIRE SUR L ADOUR,aire-sur-l-adour,aire-sur-l-adour-40800,,698,1 226,1 781,,812,1 427,2 073,,,,
40002,AMOU,40330,AMOU,amou,amou-40330,,642,1 285,1 631,,,,,,,,
40005,ARBOUCAVE,40320,ARBOUCAVE,arboucave,arboucave-40320,,732,977,1 465,,,,,,,,
40006,ARENGOSSE,40110,ARENGOSSE,arengosse,arengosse-40110,,1 295,1 439,1 655,,,,,,,,
40009,ARJUZANX,40110,ARJUZANX,arjuzanx,arjuzanx-40110,,1 338,1 487,1 710,,,,,,,,
40012,ARTASSENX,40090,ARTASSENX,artassenx,artassenx-40090,,1 094,1 458,2 188,,,,,,,,
40016,AUBAGNAN,40700,AUBAGNAN,aubagnan,aubagnan-40700,,916,1 017,1 170,,,,,,,,
40025,BASCONS,40090,BASCONS,bascons,bascons-40090,,1 195,1 638,2 509,,,,,,,,
40027,BASSERCLES,40700,BASSERCLES,bassercles,bassercles-40700,,834,1 112,1 668,,,,,,,,
40040,BEYLONGUE,40370,BEYLONGUE,beylongue,beylongue-40370,,1 269,1 410,1 622,,,,,,,,
40046,BISCARROSSE,40600,BISCARROSSE,biscarrosse,biscarrosse-40600,,1 495,2 765,3 880,,1 498,2 771,3 888,,,,
40053,BOURRIOT BERGONCE,40120,BOURRIOT BERGONCE,bourriot-bergonce,bourriot-bergonce-40120,,614,1 228,1 471,,,,,,,,
40060,CALLEN,40430,CALLEN,callen,callen-40430,,1 043,1 593,2 001,,,,,,,,
40064,CANENX ET REAUT,40090,CANENX ET REAUT,canenx-et-reaut,canenx-et-reaut-40090,,1 323,1 470,1 805,,,,,,,,
40066,CARCARES STE CROIX,40400,CARCARES STE CROIX,carcares-sainte-croix,carcares-sainte-croix-40400,,1 208,1 343,1 544,,,,,,,,
